soundname	value
nanai_d13_giasa	giasa_1
nanai_d13_giasa	giasa_2
nanai_d13_giasa	giasa_3
nanai_d13_sajna	sajna_1
nanai_d13_sajna	sajna_2
nanai_d13_sajna	sajna_3
nanai_d14_giasa	giasa_1
nanai_d14_giasa	giasa_2
nanai_d14_giasa	giasa_3
nanai_d14_sain	sain_1
nanai_d14_sain	sain_2
nanai_d14_sain	sain_3
nanai_d14_sajna	sajna_1
nanai_d14_sajna	sajna_2
nanai_d14_sajna	sajna_3
nanai_d15_giasa	giasa_1
nanai_d15_giasa	giasa_2
nanai_d15_giasa	giasa_3
nanai_d15_sain	sain_1
nanai_d15_sain	sain_2
nanai_d15_sajna	sajna_1
nanai_d15_sajna	sajna_2
nanai_d15_sajna	sajna_3
nanai_d16_giasa	giasa_1
nanai_d16_giasa	giasa_2
nanai_d16_giasa	giasa_3
nanai_d16_saji	saji_1
nanai_d16_saji	saji_2
nanai_d16_saji	saji_3
nanai_d16_sajna	sajna_1
nanai_d16_sajna	sajna_2
nanai_d16_sajna	sajna_3
nanai_d16_sajrakta	sajrakta_1
nanai_d16_sajrakta	sajrakta_2
nanai_d16_sajrakta	sajrakta_3
chukchi_d17	nəsasaqen_1
chukchi_d17	nəsasaqen_2
chukchi_d17	nəsasaqen2_1
chukchi_d17	nəsasaqen2_2
chukchi_d17_saikok	sajkok_1
chukchi_d17_saikok	sajkok_2
chukchi_d19	nəsasaqen_1
chukchi_d19	nəsasaqen_2
chukchi_d19	nəsasaqen_3
chukchi_d19	nəsasaqen_4
chukchi_d19	nəsasaqen_5
chukchi_d19	nəsasaqen_6
chukchi_d19	nəsasaqen2_1
chukchi_d19	nəsasaqen2_2
chukchi_d19	nəsasaqen2_3
chukchi_d19	nəsasaqen2_4
chukchi_d19	nəsasaqen2_5
chukchi_d19	nəsasaqen2_6
chukchi_d19_saikok	sajkok_1
chukchi_d19_saikok	sajkok_2
chukchi_d19_saikok	sajkok_3
chukchi_d19_saikok	sajkok_4
chukchi_d19_trasajoskewʔəm	trasajoskewʔəm
chukchi_d20	nəsasaqen_1
chukchi_d20	nəsasaqen_2
chukchi_d20	nəsasaqen_3
chukchi_d20	nəsasaqen_4
chukchi_d20	nəsasaqen2_1
chukchi_d20	nəsasaqen2_2
chukchi_d20	nəsasaqen2_3
chukchi_d20	nəsasaqen2_4
chukchi_d20_saikok	sajkok_1
chukchi_d20_saikok	sajkok_2
chukchi_d20_saikok	sajkok_3
chukchi_d20_saikok	sajkok_4
chukchi_d21	nəsasaqen_1
chukchi_d21	nəsasaqen_2
chukchi_d21	nəsasaqen_3
chukchi_d21	nəsasaqen2_1
chukchi_d21	nəsasaqen2_2
chukchi_d21	nəsasaqen2_3
chukchi_d21_saikok	sajkok_1
chukchi_d21_saikok	sajkok_2
chukchi_d21_saikok	sajkok_3
chukchi_d21_saikok	sajkok_4
chukchi_d22	nəsasaqen_1
chukchi_d22	nəsasaqen_2
chukchi_d22	nəsasaqen_3
chukchi_d22	nəsasaqen_4
chukchi_d22	nəsasaqen2_1
chukchi_d22	nəsasaqen2_2
chukchi_d22	nəsasaqen2_3
chukchi_d22	nəsasaqen2_4
russian_d25	коса_1
russian_d25	коса_2
russian_d25	коса_3
russian_d25	коса_cf
russian_d25	осанка_1
russian_d25	посад_1
russian_d25	посад_2
russian_d25	посад_3
russian_d25	сахар_1
russian_d25	сахар_2
russian_d25	сахар_3
russian_d25	сахар_cf
russian_d28	коса_1
russian_d28	коса_2
russian_d28	коса_3
russian_d28	коса_cf
russian_d28	осанка_1
russian_d28	осанка_2
russian_d28	осанка_3
russian_d28	осанка_cf
russian_d28	сахар_1
russian_d28	сахар_2
russian_d28	сахар_3
russian_d28	сахар_cf
russian_d30	коса_1
russian_d30	коса_2
russian_d30	коса_3
russian_d30	осанка_1
russian_d30	осанка_2
russian_d30	осанка_3
russian_d30	осанка_cf
russian_d30	сахар_1
russian_d30	сахар_2
russian_d30	сахар_3
russian_d33	коса_1
russian_d33	коса_2
russian_d33	коса_3
russian_d33	коса_cf
russian_d33	осанка_1
russian_d33	осанка_2
russian_d33	осанка_3
russian_d33	осанка_cf
russian_d33	сахар_1
